Designator,Mid X,Mid Y,Rotation,Layer
C1_5,36.26,-24.5705,0.0,top
C1_4,50.34,-24.5705,0.0,top
C1_3,22.18,-24.5705,0.0,top
C1_2,64.42,-24.5705,0.0,top
C1,8.1,-24.5705,0.0,top
C10_5,15.0525,-30.538,90.0,top
C10_4,29.1325,-30.538,90.0,top
C10_3,57.2925,-30.538,90.0,top
C10_2,0.9725,-30.538,90.0,top
C10,43.2125,-30.538,90.0,top
C11_5,59.76,-34.8505,180.0,top
C11_4,3.44,-34.8505,180.0,top
C11_3,31.6,-34.8505,180.0,top
C11_2,45.68,-34.8505,180.0,top
C11,17.52,-34.8505,180.0,top
C12_5,30.76,-24.3305,90.0,top
C12_4,58.92,-24.3305,90.0,top
C12_3,16.68,-24.3305,90.0,top
C12_2,44.84,-24.3305,90.0,top
C12,2.6,-24.3305,90.0,top
C13_5,31.59,-35.7705,180.0,top
C13_4,3.43,-35.7705,180.0,top
C13_3,45.67,-35.7705,180.0,top
C13_2,59.75,-35.7705,180.0,top
C13,17.51,-35.7705,180.0,top
C14_5,60.76,-24.3205,90.0,top
C14_4,32.6,-24.3205,90.0,top
C14_3,18.52,-24.3205,90.0,top
C14_2,46.68,-24.3205,90.0,top
C14,4.44,-24.3205,90.0,top
C15_5,25.0825,-31.928,270.0,top
C15_4,39.1625,-31.928,270.0,top
C15_3,11.0025,-31.928,270.0,top
C15_2,67.3225,-31.928,270.0,top
C15,53.2425,-31.928,270.0,top
C16_5,29.1325,-32.358,270.0,top
C16_4,15.0525,-32.358,270.0,top
C16_3,43.2125,-32.358,270.0,top
C16_2,57.2925,-32.358,270.0,top
C16,0.9725,-32.358,270.0,top
C17_5,45.76,-24.3205,90.0,top
C17_4,59.84,-24.3205,90.0,top
C17_3,31.68,-24.3205,90.0,top
C17_2,3.52,-24.3205,90.0,top
C17,17.6,-24.3205,90.0,top
C18_5,38.2,-21.3005,90.0,top
C18_4,10.04,-21.3005,90.0,top
C18_3,66.36,-21.3005,90.0,top
C18_2,24.12,-21.3005,90.0,top
C18,52.28,-21.3005,90.0,top
C19_5,25.31,-21.7105,90.0,top
C19_4,39.39,-21.7105,90.0,top
C19_3,11.23,-21.7105,90.0,top
C19_2,67.55,-21.7105,90.0,top
C19,53.47,-21.7105,90.0,top
C2_5,39.15,-25.9905,270.0,top
C2_4,10.99,-25.9905,270.0,top
C2_3,67.31,-25.9905,270.0,top
C2_2,53.23,-25.9905,270.0,top
C2,25.07,-25.9905,270.0,top
C20_5,57.48,-21.9505,270.0,top
C20_4,15.24,-21.9505,270.0,top
C20_3,1.16,-21.9505,270.0,top
C20_2,29.32,-21.9505,270.0,top
C20,43.4,-21.9505,270.0,top
C21_5,44.59,-21.9505,270.0,top
C21_4,58.67,-21.9505,270.0,top
C21_3,2.35,-21.9505,270.0,top
C21_2,30.51,-21.9505,270.0,top
C21,16.43,-21.9505,270.0,top
C3_5,25.0825,-28.288,270.0,top
C3_4,67.3225,-28.288,270.0,top
C3_3,11.0025,-28.288,270.0,top
C3_2,39.1625,-28.288,270.0,top
C3,53.2425,-28.288,270.0,top
C4_5,30.2625,-38.3505,90.0,top
C4_4,16.1825,-38.3505,90.0,top
C4_3,44.3425,-38.3505,90.0,top
C4_2,58.4225,-38.3505,90.0,top
C4,2.1025,-38.3505,90.0,top
C5_5,21.29,-35.7605,0.0,top
C5_4,49.45,-35.7605,0.0,top
C5_3,63.53,-35.7605,0.0,top
C5_2,7.21,-35.7605,0.0,top
C5,35.37,-35.7605,0.0,top
C6_5,67.3325,-30.108,270.0,top
C6_4,53.2525,-30.108,270.0,top
C6_3,25.0925,-30.108,270.0,top
C6_2,39.1725,-30.108,270.0,top
C6,11.0125,-30.108,270.0,top
C7_5,43.2125,-28.548,90.0,top
C7_4,15.0525,-28.548,90.0,top
C7_3,29.1325,-28.548,90.0,top
C7_2,57.2925,-28.548,90.0,top
C7,0.9725,-28.548,90.0,top
C8_5,63.5325,-34.828,0.0,top
C8_4,7.2125,-34.828,0.0,top
C8_3,21.2925,-34.828,0.0,top
C8_2,35.3725,-34.828,0.0,top
C8,49.4525,-34.828,0.0,top
C9_5,57.2925,-26.538,90.0,top
C9_4,29.1325,-26.538,90.0,top
C9_3,43.2125,-26.538,90.0,top
C9_2,0.9725,-26.538,90.0,top
C9,15.0525,-26.538,90.0,top
D1_5,43.42,-35.8605,90.0,top
D1_4,1.18,-35.8605,90.0,top
D1_3,57.5,-35.8605,90.0,top
D1_2,29.34,-35.8605,90.0,top
D1,15.26,-35.8605,90.0,top
KIKIT_FID_B_1,5.0,-2.5,0.0,bottom
KIKIT_FID_B_2,63.4,-2.5,0.0,bottom
KIKIT_FID_B_3,5.0,-46.8115,0.0,bottom
KIKIT_FID_T_1,5.0,-2.5,0.0,top
KIKIT_FID_T_2,63.4,-2.5,0.0,top
KIKIT_FID_T_3,5.0,-46.8115,0.0,top
KIKIT_TO_1,2.5,-2.5,0.0,top
KIKIT_TO_2,65.9,-2.5,0.0,top
KIKIT_TO_3,2.5,-46.8115,0.0,top
L1_5,36.88,-23.1655,180.0,top
L1_4,8.72,-23.1655,180.0,top
L1_3,50.96,-23.1655,180.0,top
L1_2,65.04,-23.1655,180.0,top
L1,22.8,-23.1655,180.0,top
R1_5,67.32,-24.1405,270.0,top
R1_4,11.0,-24.1405,270.0,top
R1_3,39.16,-24.1405,270.0,top
R1_2,53.24,-24.1405,270.0,top
R1,25.08,-24.1405,270.0,top
R2_5,33.77,-24.0505,90.0,top
R2_4,47.85,-24.0505,90.0,top
R2_3,5.61,-24.0505,90.0,top
R2_2,19.69,-24.0505,90.0,top
R2,61.93,-24.0505,90.0,top
R3_5,48.79,-24.0505,90.0,top
R3_4,6.55,-24.0505,90.0,top
R3_3,20.63,-24.0505,90.0,top
R3_2,34.71,-24.0505,90.0,top
R3,62.87,-24.0505,90.0,top
R4_5,53.2525,-33.778,90.0,top
R4_4,39.1725,-33.778,90.0,top
R4_3,11.0125,-33.778,90.0,top
R4_2,67.3325,-33.778,90.0,top
R4,25.0925,-33.778,90.0,top
R5_5,62.155,-35.2955,90.0,top
R5_4,19.915,-35.2955,90.0,top
R5_3,5.835,-35.2955,90.0,top
R5_2,33.995,-35.2955,90.0,top
R5,48.075,-35.2955,90.0,top
R6_5,57.48,-38.3505,270.0,top
R6_4,29.32,-38.3505,270.0,top
R6_3,1.16,-38.3505,270.0,top
R6_2,15.24,-38.3505,270.0,top
R6,43.4,-38.3505,270.0,top
SW1_5,37.91,-37.5805,90.0,top
SW1_4,23.83,-37.5805,90.0,top
SW1_3,9.75,-37.5805,90.0,top
SW1_2,66.07,-37.5805,90.0,top
SW1,51.99,-37.5805,90.0,top
U1_5,62.3,-29.8205,0.0,top
U1_4,34.14,-29.8205,0.0,top
U1_3,20.06,-29.8205,0.0,top
U1_2,5.98,-29.8205,0.0,top
U1,48.22,-29.8205,0.0,top
U2_5,4.3,-21.3305,90.0,top
U2_4,60.62,-21.3305,90.0,top
U2_3,18.38,-21.3305,90.0,top
U2_2,32.46,-21.3305,90.0,top
U2,46.54,-21.3305,90.0,top
Y1_5,18.8,-37.9905,0.0,top
Y1_4,32.88,-37.9905,0.0,top
Y1_3,46.96,-37.9905,0.0,top
Y1_2,4.72,-37.9905,0.0,top
Y1,61.04,-37.9905,0.0,top
